Beer,Brewery,Rating
Evil Twin / Amager Bryghyus From Amager With Love,Evil Twin Brewing,4.09
Baby Genius,Bissell Brothers Brewing Co.,4.17
BrewDog Paradox Speyside (Batch 011) - 1987 Macallan Sherry Cask,BrewDog,3.42
Game Of Thrones: Three-Eyed Raven,Brewery Ommegang,3.94
Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,4.78
XLV Jaded Saison,Wicked Weed Brewing,3.75
Forever Ever,Other Half Brewing Co.,4.25
Hop Lab - Imperial Red,Kane Brewing Company,4.02
Founders Blushing Monk,Founders Brewing Company,4.59
Blue Bridge Coffee Stout,Coronado Brewing Company,3.63
IPA,Ardent Craft Ales,3.77
Brick Kiln,Jackie O's Pub & Brewery,3.77
Blueberry Petite Sour,Crooked Stave Brewery & Taproom,4.24
Mystery Romp,Crooked Letter Brewing Co.,3.85
XHOPS (Purple Label),Toppling Goliath Brewing Company,3.34
Slimy Pebble Pils,North Country Brewing,3.41
Succumb,The Answer Brewpub,3.84
Yuengling Traditional Lager,Yuengling Brewery,3.36
Yuengling Light Lager,Yuengling Brewery,3.00
Yuengling Black & Tan,Yuengling Brewery,3.21
Troegs / Appalachian / Pizza Boy (717) Collaboration,Tröegs Brewing Company,3.82
Lord Chesterfield Ale,Yuengling Brewery,2.70
Wyatt's Eviction ESB,Yellow Springs Brewery,3.50
Bell's Expedition Stout,"Bell's Brewery, Inc.",4.29
Terrapin Hi-5 IPA,Terrapin Beer Company,3.77
Hop Project #65,Yazoo Brewing Company,4.00
Stupid Stout - Bourbon Barrel Aged,Coronado Brewing Company,4.00
Shhhhhhh...!,Tree House Brewing Company,4.47
Pale Ale,Yazoo Brewing Company,3.72
Winter Seasonal,Yazoo Brewing Company,3.50
Home Rule,Atlas Brew Works,3.84
Dos Perros,Yazoo Brewing Company,3.00
Gerst Amber,Yazoo Brewing Company,2.83
Southernmost Gose,Wicked Weed Brewing,3.97
Sly Rye Porter,Yazoo Brewing Company,3.50
Cuivre,The Bruery,4.46
Embrace The Funk - Indomitus Dolium Ale,Yazoo Brewing Company,4.00
Double Espresso Premio Caffé,Black Wolf Brewery,3.66
Brett Saison Barrel Aged Sauvignon Blanc Blend 1,Yazoo Brewing Company,4.00
Ka-Blammo,Nääs Gårdsbryggeri AB,4.32
Choklat Oranj,Southern Tier Brewing Company,4.34
Young's Double Chocolate,Wells & Young's Ltd,3.07
Drifter Pale Ale,Widmer Brothers Brewing Company,4.00
Pitch Black IPA,Widmer Brothers Brewing Company,4.00
Beeramisu,Pizza Port Solana Beach,4.46
Vanilla Barrel-Aged Brrrbon,Widmer Brothers Brewing Company,4.00
Coolcumber,Wicked Weed Brewing,3.58
Divergence,Wicked Weed Brewing,4.00
Pierre Ferrand Billionaire,Clown Shoes,4.25
Black Angel Cherry Sour,Wicked Weed Brewing,4.40
XXXII Prickly Pear Saison,Wicked Weed Brewing,3.50
Waterfront Brewing Co. India Pale Ale,Shipyard Brewing Co.,2.50
XXXIV Poperinge Saison IPA,Wicked Weed Brewing,4.00
Bears Choice,Tighthead Brewing Company,4.21
Reverence,Wicked Weed Brewing,4.00
Baba Black Lager,Uinta Brewing Company,3.51
Bretticent,Wicked Weed Brewing,3.75
Tricitrahops,Flossmoor Station Restaurant & Brewery,3.47
Hop Sun (Summer Wheat Beer),Southern Tier Brewing Company,3.58
Run Club Rye Pale Ale,Wicked Weed Brewing,4.00
Shadow Of The Moon,Flossmoor Station Restaurant & Brewery,3.97
Nirvana IPA,Brewery Ommegang,3.87
Philosophe,The LAB (Lexington Avenue Brewery),4.15
Terra Locale Series - Appalachia,Wicked Weed Brewing,3.85
Two Hearted Ale,"Bell's Brewery, Inc.",4.24
Hoplar Imperial IPA,Hardywood Park Craft Brewery,4.15
Satin Solitude Imperial Stout,Central Waters Brewing Co.,3.75
Serendipity,New Glarus Brewing Company,4.25
Bon Secours - Biere Vivante,Brasserie Caulier,3.00
St. Bernardus Witbier,Brouwerij St. Bernardus NV,4.19
Napoleon Complex IPA,Wicked Weed Brewing,3.98
Terra Locale Series - Lusus Naturae,Wicked Weed Brewing,4.00
Genesis Blonde Sour,Wicked Weed Brewing,4.35
Pistachio Abduction,Pipeworks Brewing Company,4.33
White Birch Berliner Weisse,White Birch Brewing,4.00
Quad,Weyerbacher Brewing Co.,4.00
"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,4.34
Merry Monks,Weyerbacher Brewing Co.,4.00
Barrel Aged Shadow Of The Moon,Flossmoor Station Restaurant & Brewery,4.08
Gnomegang,Brewery Ommegang,5.00
West Sixth IPA,West Sixth Brewing Company,3.50
OBX Beer,Weeping Radish Eco Farm & Brewery,3.00
Ipswich Oatmeal Stout,Ipswich Ale Brewery,4.70
Corolla Gold Helles Lager,Weeping Radish Eco Farm & Brewery,3.13
Weasel Boy Anastasia Russian Imperial Stout,Weasel Boy Brewing Company,4.00
Stone Delicious IPA,Stone Brewing Co.,3.67
The Event Horizon,Olde Hickory Brewery,4.38
Heller Heaven Double IPA,West Sixth Brewing Company,3.93
Wasatch Unofficial Amber Ale,Utah Brewers Cooperative,3.10
Raspberry Tart,New Glarus Brewing Company,4.37
Warsteiner Premium German Pilsener,Warsteiner Brauerei,3.44
Vera Mae,Hill Farmstead Brewery,4.29
Omega Point,Olde Hickory Brewery,4.42
Melange No. 3,The Bruery,4.33
HopDevil India Pale Ale,Victory Brewing Company,3.24
Sculpin IPA,Ballast Point Brewing Company,4.14
Summer Love,Victory Brewing Company,3.47
RIPA,Carson's Brewery,3.49
Hop Wallop,Victory Brewing Company,4.00
Old Horizontal,Victory Brewing Company,4.00
Stone Enjoy By IPA,Stone Brewing Co.,4.40
Golden Monkey,Victory Brewing Company,4.21
PMD Mild Ale,Goose Island Beer Co.,3.54
J. Wakefield / Arizona Wilderness Blood Brothers,J. Wakefield Brewing,4.23
Headwaters Pale Ale,Victory Brewing Company,3.50
DirtWolf,Victory Brewing Company,4.27
Red Thunder,Victory Brewing Company,4.00
Helios  (V Saison),Victory Brewing Company,3.92
Heineken Lager Beer,Heineken Nederland B.V.,3.09
Chameleon Lager,Goose Island Beer Co.,3.02
White Monkey,Victory Brewing Company,4.19
Electric Peel,Magic Hat Brewing Company,3.82
Série Signature Barleywine Américain,Les Trois Mousquetaires,4.38
Invicta India Black Ale,Cervejaria Invicta,4.00
Gose,Upright Brewing Company,4.13
Cape Cod Porter,Cape Cod Beer,3.31
Five (#5),Upright Brewing Company,4.00
Seven (#7),Upright Brewing Company,4.00
Barrel Chested Barleywine,Upland Brewing Company,4.00
Brooklyn Summer Ale,Brooklyn Brewery,3.39
Yellow Rose,The Lone Pint Brewery,4.46
Mocha Wednesday,The Bruery,4.73
Stiltsville,Concrete Beach Brewery,3.14
Maudite,Unibroue,4.30
Maple Bacon Coffee Porter,Funky Buddha Brewery,4.54
Unibroue 17 Grande Réserve,Unibroue,4.38
Dragonfly IPA,Upland Brewing Company,3.25
Maximus,Lagunitas Brewing Company,4.25
Campside,Upland Brewing Company,3.50
Florida Cracker Belgian-style White Ale,Cigar City Brewing,3.80
Sour Grand Saison,Grand Teton Brewing Co.,3.88
Ambar Pale Ale 1900,La Zaragozana S.A.,2.22
90 Minute IPA,Dogfish Head Brewery,4.55
Prairie Pirate Bomb!,Prairie Artisan Ales,4.75
Cuspid To Cuspid,Sante Adairius Rustic Ales,4.72
Abrasive Ale,Surly Brewing Company,4.50
Cantillon Saint Lamvinus,Brasserie Cantillon,4.48
Chocolate Rain,The Bruery,4.54
Buck Snort Stout,North Country Brewing,3.63
Black Tuesday,The Bruery,4.42
Bell's Black Note Stout,"Bell's Brewery, Inc.",4.64
Steelhead Porter,Mad River Brewing Company,4.00
Cape Cod IPA,Cape Cod Beer,3.57
Oneida,Modern Times Beer,4.08
Petite Sour Boysenberry,Crooked Stave Brewery & Taproom,3.93
King Sue,Toppling Goliath Brewing Company,4.57
IPA Cumaru,Cervejaria Amazônia Ltda.,3.34
Bourbon County Vanilla Rye,Goose Island Beer Co.,4.68
All For One Session IPA,The Brew Kettle Taproom & Smokehouse / Production Works,4.23
Sunny Ridge,Jack's Abby Brewing,3.75
Rampant Imperial IPA,New Belgium Brewing,3.77
Skillet Donut Stout,Burial Beer Co.,4.20
Stone RuinTen IPA,Stone Brewing Co.,4.50
Cape Cod Red,Cape Cod Beer,3.31
Paleo IPA,North Country Brewing,3.39
60 Minute IPA,Dogfish Head Brewery,4.15
Surette Reserva Dry Hopped,Crooked Stave Brewery & Taproom,4.23
Double Citra,Hill Farmstead Brewery,4.88
