Beer,Brewery,Rating
Pliny The Elder,Russian River Brewing Company,4.60
Squatters Hop Rising Double IPA,Utah Brewers Cooperative,4.00
Cockeyed Cooper,Uinta Brewing Company,4.25
Strawberry Rhubarb,New Glarus Brewing Company,4.46
Oak Jacked Imperial Pumpkin Ale,Uinta Brewing Company,4.00
Backyard Rye Bourbon County Brand Stout,Goose Island Beer Co.,4.61
Bourbon Barrel Russian Imperial Stout,Joseph James Brewing Inc.,4.15
Moosehead Lager,Moosehead Breweries Ltd.,3.08
Impey Barbicane's Moongun,Cigar City Brewing,3.62
Smoke Detector,New England Brewing Co.,4.05
Ten Hills Pale Ale,Goose Island Beer Co.,3.58
Lil' Heaven,Two Roads Brewing Company,3.73
Prairie Eliza5beth,Prairie Artisan Ales,4.01
George - Cognac Barrel Aged,Mikkeller ApS,3.52
Evil Twin Molotov Cocktail,Evil Twin Brewing,4.03
St. Bernardus Abt 12,Brouwerij St. Bernardus NV,4.69
Bengali,Sixpoint Brewery,3.88
Brooklyn Blast!,Brooklyn Brewery,4.00
Why Kick A Moo Cow New Zealand Pale Ale,Arbor Ales,3.63
Stone Ruination Double IPA  2.0,Stone Brewing Co.,4.26
Aun Mas Chili Jesus,Evil Twin Brewing,4.25
MagoTago Mosaic,Tired Hands Brewing Company,4.79
George - Calvados Barrel Aged,Mikkeller ApS,3.89
Deep Ellum IPA,Deep Ellum Brewing Company,4.01
(512) IPA,(512) Brewing Company,4.10
Rye Hard,Temple Brewing Company,3.65
16-Bit DPA,Tallgrass Brewing Company,4.00
Pivo Pils,Firestone Walker Brewing Co.,4.10
Franziskaner Club-Weisse Kristalklar,Spaten-Franziskaner-Bräu,4.17
Resin,Sixpoint Brewery,4.23
Fire Eagle IPA,Austin Beerworks,3.91
Hunter Coconut,18th Street Brewery,3.27
(Noisy Minor) ANZUS,Fortitude Brewing Company,3.49
Fresh Squeezed IPA,Deschutes Brewery,4.36
Original Golden Ale,Fortitude Brewing Company,3.57
Raspberry Sour,Avery Brewing Company,4.28
Sour Monkey,Victory Brewing Company,3.80
Koppi Coffee IPA Citra X Michiti,Mikkeller ApS,4.02
Barrel-Aged Fumare,Sante Adairius Rustic Ales,4.30
Seventeen,Central Waters Brewing Co.,4.49
Dale's Pale Ale,Oskar Blues Grill & Brew,3.58
Fauxder,de Garde Brewing,4.58
Deal With The Devil,18th Street Brewery,4.21
Cerveza De Tempranillo,Jester King Brewery,4.27
CynicAle,Surly Brewing Company,4.08
Blasphemy,Weyerbacher Brewing Co.,3.93
'Merica,Imperial Oak Brewing,3.83
1492 IPA,Toppling Goliath Brewing Company,4.05
35K,Against The Grain Brewery & Smokehouse,3.91
Oak Aged Yeti Imperial Stout,Great Divide Brewing Company,4.37
Satan Gold,Brouwerij De Block bvba,3.27
La Trappe Blond (Koningshoeven / Dominus),Bierbrouwerij De Koningshoeven B.V.,3.50
Wild Oats Series No. 53 - Golden Vox,Beau's All Natural Brewing Company,4.75
Cuvée,Burning Sky Brewery,4.05
Roadside American Ale,Mother Road Brewery,3.25
Gold Road,Mother Road Brewery,3.12
Sweet Devil Stout,College Street Brewhouse & Pub,3.81
Slab Cabin IPA,Otto's Pub and Brewery,3.89
Hefeweizen,Tributary Brewing Co.,3.71
Green Bullet Triple IPA,Green Flash Brewing Co.,2.73
Marshallville Wit,Tuckahoe Brewing Company,1.38
Biere Du Pays,Side Project Brewing,4.49
Foedre Beer,Side Project Brewing,4.37
ProCATstination,Perennial Artisan Ales,4.29
Game Of Thrones: Valar Morghulis,Brewery Ommegang,3.56
Hofbräu Original,Hofbräuhaus München,1.00
Rover Truck,Toppling Goliath Brewing Company,3.30
Brewhouse Coffee Stout,Central Waters Brewing Co.,4.27
Bourbon Barrel Aged Imperial Mayan Mocha,Odd Side Ales,4.00
Tritonia,Creature Comforts,4.03
West Jersey Pale,Third State Brewing,3.45
Redcoat Red,Third State Brewing,3.45
Get To The Choppa,The Beer'd Brewing Co.,4.24
Irish Tenth Stout,Third State Brewing,3.81
Bell's Saturn: The Bringer Of Old Age,"Bell's Brewery, Inc.",4.22
Duvel Tripel Hop 2015 (Equinox),Brouwerij Duvel Moortgat NV,4.08
Skull'Ole,3 Floyds Brewing Co.,4.05
Passionfruit Petite Sour,Crooked Stave Brewery & Taproom,4.75
Nightmare On Brett (Aged In Red Wine Casks),Crooked Stave Brewery & Taproom,4.28
The Perfesser,Elysian Brewing Company,3.75
Hell Or High Watermelon Wheat Beer,21st Amendment Brewery,3.35
DuganA IPA,Avery Brewing Company,3.52
Burlington Island Wheat,Third State Brewing,3.84
Mama's Little Yella Pils,Oskar Blues Grill & Brew,3.52
Java Power,Ithaca Beer Company,3.24
Jay's Porter,Third State Brewing,4.00
352 HIghPA,Third State Brewing,3.75
Drie Fonteinen Oude Geuze,Brouwerij Drie Fonteinen,4.21
Sure Bet,Pipeworks Brewing Company,4.63
Harlan IPA,Hill Farmstead Brewery,4.67
Santilli,Night Shift Brewing,4.12
Evil Twin Biere Blanca Blanc,Evil Twin Brewing,3.69
Fair Maiden Double IPA,Foley Brothers Brewing,3.75
Iron Maiden Trooper,Robinsons Family Brewers,3.00
Black Oak Epiphany No. 1,Black Oak Brewing Co.,4.30
Tarte Nouveau,Weyerbacher Brewing Co.,3.00
Monkshine Belgian Style Blonde Ale,Uinta Brewing Company,3.58
Flora,Hill Farmstead Brewery,4.54
Dubhe Imperial Black IPA,Uinta Brewing Company,4.12
Patroon IPA,Hidden Cove Brewing Co. / Fire N Brew,3.00
Wyld Extra Pale Ale,Uinta Brewing Company,3.00
Labyrinth Black Ale,Uinta Brewing Company,4.28
A Tiny Beautiful Something,Maine Beer Company,3.86
Leinenkugel's Grapefruit Shandy,Jacob Leinenkugel Brewing Company,3.38
20th Anniversary Birthday Suit,Uinta Brewing Company,4.10
Double Shot - Sumatra Mandheling,Tree House Brewing Company,4.75
Panic IPA,Track 7 Brewing Co.,3.82
Hop Nosh IPA,Uinta Brewing Company,4.10
Punk'n Harvest Pumpkin Ale,Uinta Brewing Company,4.00
Cali Creamin' Vanilla Cream Ale,Mother Earth Brew Co.,3.75
Alaskan Amber,Alaskan Brewing Co.,3.98
Simcoe Hopped India Pale Ale,Mikkeller ApS,3.36
Galaxy Dry Hopped Sunshower,Trillium Brewing Company,4.17
Nooner Batch 8 (Hazelnut RareR DOS),Peg's Cantina & Brew Pub,4.00
Atalanta,Orpheus Brewing,4.04
Game Of Thrones: Fire & Blood,Brewery Ommegang,3.75
Haze,Tree House Brewing Company,4.38
Heavier Handed IPA,Two Brothers Brewing Company,4.00
Tröegs Java Head Stout,Tröegs Brewing Company,4.00
Saison De Banc Noir,Green Bench Brewing Co.,2.91
Beer Hates Astronauts,Half Acre Beer Company,4.32
Tröegs Perpetual IPA,Tröegs Brewing Company,3.68
Tröegs Troegenator Double Bock,Tröegs Brewing Company,4.00
Pretty Polly (Dry-Hopped),Steel String Brewery,4.23
Tröegs Flying Mouflan,Tröegs Brewing Company,4.35
Vanilla Barrel-Aged Framinghammer,Jack's Abby Brewing,4.28
Railsplitter IPA,Triton Brewing Company,3.50
Wild Oats Series No. 31 Wag The Wolf,Beau's All Natural Brewing Company,3.90
Wild Oats Series No. 10 - Dunkel Buck,Beau's All Natural Brewing Company,4.00
Cranium,Triple Digit Brewing Co.,4.49
Saison Dupont Cuvée Dry Hopping,Brasserie Dupont sprl,3.97
Sosus,Toppling Goliath Brewing Company,4.28
Brownhoist Nut Brown Ale,Tri-City Brewing Company,2.77
Swami's IPA,Pizza Port Solana Beach,4.00
Old Reliable,Short's Brewing Company,3.65
Sleep Over Coffee IIPA,To Øl,4.06
PNC Imperial Buckwheat Stout,Firestone Walker Brewing Co.,4.50
Fuck Art - This Is Advertising,To Øl,4.25
Yeastus Christus,To Øl,4.00
Saint Somewhere / Cigar City Deja Vu,Saint Somewhere Brewing Company,2.14
Castaway IPA,Kona Brewing Co.,3.50
Island Chomper Fruit Punch DIPA,Short's Brewing Company,4.31
Proverbial Mind Spread,Short's Brewing Company,4.00
Doozy,Mother's Brewing Company,4.35
Castles Of Yesterday,Short's Brewing Company,3.75
Intergalactic Warrior IPA,Toppling Goliath Brewing Company,4.33
Summer Ale,Back East Brewing Company,4.03
Short's Shandy,Short's Brewing Company,3.50
Brewer's Reserve Bourbon Barrel Barleywine,Central Waters Brewing Co.,4.25
Blue Star Great American Wheat Beer,North Coast Brewing Co.,3.68
Thumbprint Oud Bruin,New Glarus Brewing Company,4.02
Guinness Draught,Guinness Ltd.,4.08
Ursus Lactis,Mainstream Steak & Ribs / Dead Bear Brewing Co.,3.50
Red Stripe Jamaican Lager,Desnoes & Geddes Limited,1.97
RaspBEARy Hefeweizen,Mainstream Steak & Ribs / Dead Bear Brewing Co.,3.75
805 Blonde Ale,Firestone Walker Brewing Co.,3.09
Road 2 Ruin,Two Roads Brewing Company,3.83
Le Pete,Barrier Brewing Company,3.58
Shameless Santa,To Øl,4.00
Juke Joint IPA,Tin Roof Brewing Company,3.75
Peak Organic Simcoe Spring Ale,Peak Organic Brewing Company,3.74
Skunk Black IPA,Three Heads Brewing,3.74
Mojo IPA,Boulder Beer / Wilderness Pub,3.52
Intergalactic Pale Ale,7venth (Seventh) Sun Brewery,4.15
Bodacious Belgian,Boston Beer Works - Canal Street,3.84
Sapporo Premium Beer,Sapporo Breweries Ltd.,2.84
Thumbprint Apple Ale,New Glarus Brewing Company,4.18
Arthur,Hill Farmstead Brewery,4.40
Störtebeker Frei-Bier,Störtebeker Braumanufaktur,2.11
Lights On,Tree House Brewing Company,4.19
Tsingtao,"Tsingtao Brewery Co., Ltd.",3.12
Ed Die,7venth (Seventh) Sun Brewery,4.56
BOMB!,Prairie Artisan Ales,4.69
Boiler Room Berliner Weisse,Saint Arnold Brewing Company,3.69
Pilsner Urquell,"Plzensky Prazdroj, a. s.",3.62
Corona Light,Grupo Modelo S.A. de C.V.,2.69
Préaris Quadrocinno,De Proefbrouwerij (bvba Andelot),3.92
Vanderghinste Oud Bruin,Brouwerij Bockor N.V.,3.87
YumYum,3 Floyds Brewing Co.,3.71
Allagash Farm To Face,Allagash Brewing Company,4.39
Electric Love,7venth (Seventh) Sun Brewery,4.84
Tableau Rouge,de Garde Brewing,4.00
Agrestic American Wild Red Ale,Firestone Walker Brewing Co.,4.00
Stealin' Time Summer Wheat,Magic Hat Brewing Company,3.43
La Fosse,Side Project Brewing,4.24
Grassroots Convivial Suaréz,Grassroots Brewing,4.06
Shiner Birthday Beer Chocolate Stout,Spoetzl Brewery / Shiner,4.00
Cascade Sang Rouge,Cascade Brewing / Raccoon Lodge & Brewpub,3.75
Wise Guise,The Rare Barrel,4.25
Embrace The Funk - Deux Rouges,Yazoo Brewing Company,4.15
Tavern Ale,AleWerks Brewing Company,3.70
Bourbon Barrel Aged Shipwreck Porter,Arcadia Brewing Company,4.34
Heavy Seas Loose Cannon - American Hop3 Ale,Heavy Seas Beer,3.70
Blackberry Lambic,Upland Brewing Company,4.25
Saison,Casey Brewing & Blending,4.16
Lunch,Maine Beer Company,4.25
Narragansett Del's Shandy,Narragansett Brewing Co.,2.86
1st Anniversary Sour,Hailstorm Brewing Co.,3.75
Hibiscus Gose,Boulevard Brewing Co.,3.64
Prairie Limo Tint,Prairie Artisan Ales,3.71
Battle IPA,Monument City Brewing Company,3.59
Shadows Of Their Eyes,The Rare Barrel,4.25
Goose IPA,Goose Island Beer Co.,3.43
Velvet Merkin,Firestone Walker Brewing Co.,3.98
Bourbon Barrel Night Fury With Vanilla,Witch's Hat Brewing Co.,3.74
Sante Adairius / Triple Rock Cellarman Barrel Aged Saison,Sante Adairius Rustic Ales,4.00
Sour Pumpernickel Rye,Hermitage Brewing,3.58
Hop Savant - Citra,Crooked Stave Brewery & Taproom,3.93
Nepenthes Hydromelita,OEC Brewing (Ordinem Ecentrici Coctores),4.36
Dantalion Dark Wild Ale,Upland Brewing Company,3.75
Artista Zynergia: Gosatequin,OEC Brewing (Ordinem Ecentrici Coctores),4.47
Exilis,OEC Brewing (Ordinem Ecentrici Coctores),4.33
Petit Desay,de Garde Brewing,4.55
Aeris,OEC Brewing (Ordinem Ecentrici Coctores),3.60
Mr. Chipper,Westbrook Brewing Co.,4.00
Amara Sour,OEC Brewing (Ordinem Ecentrici Coctores),3.64
Hypnopompa (Bourbon Barrel Aged),Omnipollo,4.24
Telekinesis,Grimm Artisanal Ales,4.25
Society & Solitude #5,Hill Farmstead Brewery,4.90
Heirloom Pumpkin Barleywine,Almanac Beer Co.,4.12
Shhhhhhhhhh.....,Lawson's Finest Liquids,4.25
Nordman Kaiser,Nordman Beers,3.27
Lagunitas IPA,Lagunitas Brewing Company,3.87
2012 Vintage Oak Aged Ale (Barrel No. 170),Brouwerij Rodenbach N.V.,4.25
Narwhal Imperial Stout,Sierra Nevada Brewing Co.,4.31
Play Dead IPA,Yellow Dog Brewing,3.67
Cable Car,The Lost Abbey,4.16
Assemblage No. 4,Brasserie Dunham,4.25
Hobgoblin,Wychwood Brewery Company Ltd,4.00
L'Exclamation,Noire & Blanche,3.84
Genese,Brasserie Dieu Du Ciel,4.00
Tribale Session IPA,Ma Brasserie,3.90
Assemblage Tardif #2,Oshlag Brasserie & Distillerie,3.42
Side Launch Wheat,Side Launch Brewing Company,3.93
Stone Go To IPA,Stone Brewing Co.,3.70
Revival Double Black IPA,Revival Brewing Co.,3.47
Firewater India Pale Ale,Catawba Brewing Co.,3.42
Nooner Pilsner,Sierra Nevada Brewing Co.,3.58
Cyclope Beta IPA,Brasserie Dunham,3.67
Åbro Bryggmästarens Premium Guld,Åbro Bryggeri,3.78
Isle De Garde/Pit Caribou Brett Session Saison De Seigle,Isle de Garde,3.42
Sommer’s Sour Mash Blonde,Bier Factory Rapperswil AG,3.00
Le Castor/dunham Chevaliers Du Funk,Microbrasserie Le Castor,4.30
Freigeist Abraxxxas Pear Lichtenhainer,Braustelle,3.72
Berliner Iced Tea,Les Trois Mousquetaires,3.66
Be Hoppy,Wormtown Brewery,3.72
Stuttgarter Hofbräu Pilsner,Stuttgarter Hofbräu AG,3.58
Small Batch Oatmeal Milk Stout Aged In Whiskey Barrels,River Horse Brewing Co.,4.74
Fürstenberg Premium Pilsener,Fürstlich Fürstenbergische Brauerei KG,3.16
Vintage Sour Imperial Stout,BrewPub København,3.72
Augustiner Bräu Lagerbier Hell,Augustiner-Bräu Wagner KG,3.59
Hop Rise Session Ale,Central Waters Brewing Co.,3.69
Black Rajah,The Brew Kettle Taproom & Smokehouse / Production Works,4.02
Divided Sky Rye IPA,4 Hands Brewing Co.,4.16
Rumble IPA,Great Divide Brewing Company,3.61
Stuttgarter Hofbräu Herren Pils,Stuttgarter Hofbräu AG,3.27
"Hop, Drop 'n Roll",NoDa Brewing Company,4.32
Rubus,Birra Del Borgo,3.91
Eureka W/ Citra,Tree House Brewing Company,4.28
Imperial End Of Days,Pipeworks Brewing Company,3.90
Tweak,Avery Brewing Company,4.54
Centennial Dry Hopped Sunshower,Trillium Brewing Company,3.79
Peak Organic Summer Session Ale,Peak Organic Brewing Company,3.89
Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,4.72
Stuttgarter Hofbräu Malteser Weissbier Kristall,Stuttgarter Hofbräu AG,2.99
Garden Of Earthly Delights,Burial Beer Co.,3.77
Imperial Russian Stout - Bourbon Barrel Aged,Stone Brewing Co.,4.47
Slingshot American Craft Lager,Shmaltz Brewing Company,3.71
Uncle Tyson's Dunkelweizen,Lena Brewing Company,4.00
Shuggie Soulbender IPA,SingleCut Beersmiths,4.15
Das Helle,Dinkelacker-Schwabenbraeu AG,3.27
Simtra,Knee Deep Brewing Company,4.10
Moat Imperial Stout,Moat Mountain Smoke House & Brewing Co.,3.50
Peroni Nastro Azzurro,Birra Peroni Industriale S.p.A.,2.75
38° Hefe,Lena Brewing Company,4.25
Duchesse De Bourgogne,Brouwerij Verhaeghe,3.70
Moat Scottie's IPA,Moat Mountain Smoke House & Brewing Co.,3.50
Perfect Situation IPA,Lena Brewing Company,3.92
Apex Predator,Off Color Brewing,3.73
Equinox Ale,Lagunitas Brewing Company,3.99
Bourbon Barrel Aged Abominable: Coffee And Cinnamon,Fremont Brewing Company,4.92
Gangster Frog IPA,Hoppin' Frog Brewery,3.81
Introvert Session IPA,Left Hand Brewing Company,3.88
Small Batch Barrel-Aged Berliner Weisse,River Horse Brewing Co.,2.86
Prairie Gold,Prairie Artisan Ales,3.92
Bud Light Lime,Anheuser-Busch,2.90
Tropical Tripel,De Proefbrouwerij (bvba Andelot),3.84
Bourbon Barrel Aged Dark Star: Spice Wars,Fremont Brewing Company,5.00
Smithwick's Imported Premium Irish Ale,Guinness Ltd.,3.02
Guinness Foreign Extra Stout,Guinness Ltd.,3.88
New Dogtown Pale Ale,Lagunitas Brewing Company,4.04
Stickee Monkee,Firestone Walker Brewing Co.,4.98
Future Ancestor,Wiseacre Brewing,3.71
Catty Wompus,Devils Backbone Brewing Company,3.53
Notorious Triple IPA,Boneyard Beer Company,5.00
Wisconsin Festiv Ale,The Hop Garden,3.50
Dragon's Milk,New Holland Brewing Company,4.29
Nuggetopia,The Hop Garden,3.50
Foudreweizen,Jester King Brewery,4.25
Hoppa Loppa IPA,The Grumpy Troll Restaurant and Brewery,3.50
Omission Pale Ale (Gluten-Free),Widmer Brothers Brewing Company,3.29
Emergency Drinking Beer,Wild Heaven Craft Beers,3.50
1862 Ale,Land-Grant Brewing Company,4.00
Thrillseeker IPA,Beachwood BBQ & Brewing,4.00
Proprietor's Bourbon County Brand Stout (2014),Goose Island Beer Co.,4.75
Scottish Style Ale,Stone Arch Brew House,3.09
Captain Fred,The Grumpy Troll Restaurant and Brewery,3.49
Athena,Creature Comforts,4.00
"Johnny ""Blood"" McNally Red Ale",Titletown Brewing Company,3.54
Night & Day,Trillium Brewing Company,4.52
Pumpkin Pearzen,The Moon Under Water Pub & Brewery,4.00
Quinn's Amber Lager,Pecatonica Beer Company,3.25
Alphorn Pale Ale,Pecatonica Beer Company,3.25
Agamemnon,Omnipollo,3.83
Colette Farmhouse Ale,Great Divide Brewing Company,3.40
Armand'4 Oude Geuze Herfst (Autumn),Brouwerij Drie Fonteinen,4.12
Grateful Red,Capital Brewery,3.50
Blue Moon Mountain Abbey Ale,Coors Brewing Company,2.91
Witchtower,Second Salem Brewing Company,3.50
Leinenkugel's Snowdrift Vanilla Porter,Jacob Leinenkugel Brewing Company,3.50
Busch Signature Copper Lager,Anheuser-Busch,2.99
Spotted Cow,New Glarus Brewing Company,3.65
Really Cool Waterslides,3 Sheeps Brewing,3.50
Thumbprint Berliner Weiss,New Glarus Brewing Company,3.93
Double Dry Hopped Congress Street,Trillium Brewing Company,4.51
Rebel Kent The First,3 Sheeps Brewing,3.00
Totally Naked,New Glarus Brewing Company,3.58
Black Tuesday - Rum Barrel Aged,The Bruery,4.12
St. Bernardus Abt 12 Oak Aged,Brouwerij St. Bernardus NV,4.27
Ambrewsia,Brewmaster Jack,4.05
Crop Circle Wheat,Great Dane Pub & Brewing Company (Downtown),3.50
Brown Ale,Captain Lawrence Brewing Co.,3.92
Interurban IPA,Fremont Brewing Company,3.96
Seeking Alpha,Captain Lawrence Brewing Co.,3.66
Belgian IPA,Great Dane Pub & Brewing Company (Downtown),3.50
Pulling Nails Blend #2,Side Project Brewing,4.56
Tequila Barrel Walkabout Pale Ale,Flat 12 Bierwerks,4.25
Cream Ale,The Civil Life Brewing Company,3.38
Session Player IPA,Blackstone Restaurant & Brewery,3.25
Citra Luxe,Yazoo Brewing Company,4.25
Packerland Pilsner,Hinterland Brewery Restaurant,2.77
Bearded Lady,Good People Brewing Company,3.25
Island Wheat,Capital Brewery,3.25
Evil Twin Imperial Biscotti Break,Evil Twin Brewing,4.27
Weihenstephaner Vitus,Bayerische Staatsbrauerei Weihenstephan,3.91
Leggy Lass IPA,Goose Island Beer Co.,3.50
Bucktricity Kills,Short's Brewing Company,4.34
Chasing Rabbits,Burlington Beer Co.,3.96
Session Black Lager,Full Sail Brewery & Tasting Room & Pub,3.42
Lucky Beer (Lucky Buddha),"Hangzhou Qiandaohu Beer Co., Ltd. (Cheerday Brewery)",2.17
Guinness Generous Ale,Guinness Ltd.,3.60
Winter Spirit,Smithwick's Brewery / Irish Ale Breweries Ltd,3.64
Kilkenny Irish Cream Ale,Guinness Ltd.,3.75
Back In The Day IPA,Orange Blossom Pilsner LLC,2.75
Breaking Bud,Knee Deep Brewing Company,4.42
Polka King Porter,Door County Brewing Co.,3.50
Coronado / Devils Backbone Devils Tale,Coronado Brewing Company,3.25
More Moro Blood Orange IPA,Funky Buddha Brewery,3.70
Dark Penance,Founders Brewing Company,3.75
Beer Geek Vanilla Shake,Mikkeller ApS,4.47
Rattlesnake IPA,Big Texan Brewery,3.63
Texas Red Amber Ale,Big Texan Brewery,3.13
Whiskey Barrel Stout,Big Texan Brewery,4.30
Crimson Snapper,Pipeworks Brewing Company,4.35
Wup Ur Donkey Double IPA,Big Texan Brewery,3.91
B.O.R.I.S. #200,Hoppin' Frog Brewery,4.38
Grand Larceny,The Answer Brewpub,4.31
Life Is A Peach,Siren Craft Brew,4.47
Nuova Mattina,Birrificio Del Ducato,4.00
Roebling Imperial Robust Porter,Rivertown Brewing Co.,3.55
Coffee Is For Closers,Fullsteam Brewery,3.25
Allagash James Bean,Allagash Brewing Company,4.10
On The Wings Of Armageddon,DC Brau Brewing Co.,4.25
Maiden The Shade,Ninkasi Brewing Company,3.71
Hutthurmer Edles Helles,Hutthurmer Bayerwald Brauerei,3.25
Union Jack India Pale Ale,Firestone Walker Brewing Co.,4.45
Fraoch Vintage Cask Collaberation No. 22,Williams Brothers Brewing Company,4.07
Bam Bière,Jolly Pumpkin Artisan Ales,3.88
Blue Sunday Sour,New Holland Brewing Company,3.68
Namaste,Dogfish Head Brewery,3.50
Tripel Cafe,Southern Tier Brewing Company,4.25
Samuel Adams Kosmic Mother Funk,Boston Beer Company (Samuel Adams),3.97
Session IPA,Full Sail Brewery & Tasting Room & Pub,3.17
City Of The Dead,Modern Times Beer,4.20
Eastern Standard IPA,Peekskill Brewery,4.11
Black House W/ Coconut & Cacao Nibs,Modern Times Beer,4.12
Not Your Father's Root Beer (5.9%),Small Town Brewery,4.23
Éphémère (Pear),Unibroue,4.25
Noire De Chambly / Chambly Noire,Unibroue,3.05
Habanero Sculpin,Ballast Point Brewing Company,4.21
Moritz Epidor,"Cervezas Moritz, S.A.",3.68
Péché Mortel (Imperial Stout Au Cafe),Brasserie Dieu Du Ciel,4.13
Disco Soleil,Brasserie Dieu Du Ciel,3.95
Au Fil Des Seiz'ons,Brasserie Dieu Du Ciel,3.94
Bell's Uranus (The Magician),"Bell's Brewery, Inc.",4.15
Aria,Perennial Artisan Ales,3.31
Hammerland DIPA,El Segundo Brewing Company,4.06
Blind Pig IPA,Russian River Brewing Company,4.12
Spring IPA,Abita Brewing Co.,2.70
Tripel Karmeliet,Brouwerij Bosteels,4.49
Old Chimneys Good King Henry Imperial Stout,Old Chimneys Brewery,4.45
Straffe Hendrik Bruges Tripel Bier 9°,Brouwerij Straffe Hendrik / Huisbrouwerij De Halve Maan,4.36
He'Brew Messiah Nut Brown Ale,Shmaltz Brewing Company,3.54
Desperados Verde,Heineken Nederland B.V.,2.03
Nissos,Cyclades Microbrewery,3.02
Axe Edge,Buxton Brewery,4.49
Asahi Super Dry,Asahi Breweries Ltd,2.67
Newcastle Brown Ale,Heineken Nederland B.V.,3.02
Coors Light,Coors Brewing Company,1.25
Suntory The Premium Malt's,Suntory,2.00
Primo,Pabst Brewing Company,2.25
Mickey's,Miller Brewing Co.,1.53
Colt 45 Malt Liquor,Pabst Brewing Company,1.41
Hitachino Dai Dai Ale,Kiuchi Brewery,4.22
Hop Bomb,Redoak Boutique Beer Cafe,3.12
120 Minute IPA,Dogfish Head Brewery,4.25
Summit Summer Ale,Summit Brewing Company,3.75
Caldera Pale Ale,Caldera Brewing Company,4.06
American Pale Ale,Redoak Boutique Beer Cafe,3.50
Essence,Hangar 24 Brewery,4.19
Dr. Paddy's Elixir,Redoak Boutique Beer Cafe,2.83
Hop Bender,Redoak Boutique Beer Cafe,4.00
Pommy Bitter,Redoak Boutique Beer Cafe,3.29
My Antonia (Birra Del Borgo & Dogfish Head),Birra Del Borgo,4.10
Sur Amarillo,To Øl,4.36
Snake Dog IPA,Flying Dog Brewery,3.69
Organic Pale Ale,Redoak Boutique Beer Cafe,3.24
Stone Cali-Belgique,Stone Brewing Co.,3.88
Cascade Sang Royal,Cascade Brewing / Raccoon Lodge & Brewpub,4.35
Cascade IPA,Cascade Brewing / Raccoon Lodge & Brewpub,3.64
Figaro,Cascade Brewing / Raccoon Lodge & Brewpub,4.17
Cascade Noyaux,Cascade Brewing / Raccoon Lodge & Brewpub,4.41
Harvest Fresh Hop IPA- Southern Hemisphere Harvest,Sierra Nevada Brewing Co.,4.01
Sierra Nevada Best Bitter Ale,Sierra Nevada Brewing Co.,3.54
Bloody Wit,Redoak Boutique Beer Cafe,3.18
Roter Klinker,Buddelship Brauerei GmbH,3.25
Sierra Nevada Porter,Sierra Nevada Brewing Co.,3.76
Harvest Lager,Redoak Boutique Beer Cafe,3.47
Gotland 1394,Buddelship Brauerei GmbH,4.37
Old Chico Crystal Wheat,Sierra Nevada Brewing Co.,3.46
Sierra Nevada Draught Style Pale Ale,Sierra Nevada Brewing Co.,3.93
Sierra Nevada German-Style Kölsch,Sierra Nevada Brewing Co.,3.74
Sierra Nevada Bigfoot Barleywine Style Ale - Barrel-Aged,Sierra Nevada Brewing Co.,3.95
Miss Flannery,Redoak Boutique Beer Cafe,3.15
Anchor Liberty Ale,Anchor Brewing Company,3.29
Winter In The Rye,Redoak Boutique Beer Cafe,3.48
Big Bear Black Stout,Bear Republic Brewing Co.,4.51
Humboldt Brownie,Mad River Brewing Company,3.58
Heavy Seas - Blackbeard’s Breakfast Barrel Aged Imperial Coffee Porter,Heavy Seas Beer,4.32
Samuel Adams Rebel Rouser,Boston Beer Company (Samuel Adams),3.75
Red Tail Ale,Mendocino Brewing Company,3.50
Hell On Wood,DuClaw Brewing Company,4.04
Lagunitas PILS (Czech Style Pilsner),Lagunitas Brewing Company,3.58
Citrana Wild Ale,Borderlands Brewing Co.,3.60
Innis And Gunn White Oak Wheat Beer,Innis & Gunn,2.92
Andechser Weissbier Hell,Klosterbrauerei Andechs,4.23
LeBleu,Ithaca Beer Company,4.36
17 Mint Chocolate Stout,Perennial Artisan Ales,3.62
Insula Multos Collibus,Avery Brewing Company,4.37
Leinenkugel's Summer Shandy,Jacob Leinenkugel Brewing Company,3.10
Leinenkugel's Oktoberfest,Jacob Leinenkugel Brewing Company,3.12
Leinenkugel's Honey Weiss,Jacob Leinenkugel Brewing Company,3.00
Leinenkugel's Berry Weiss,Jacob Leinenkugel Brewing Company,2.84
Leinenkugel's Red,Jacob Leinenkugel Brewing Company,3.25
Ottakringer Wiener G'mischtes,Ottakringer Brauerei AG,3.00
Pinner Throwback IPA,Oskar Blues Grill & Brew,3.68
Ottakringer Helles,Ottakringer Brauerei AG,3.19
Volkan Santorini Black,Volkan,3.60
Volkan Santorini Blonde,Volkan,3.60
Rainier Ale,Pabst Brewing Company,1.66
Tectum Et Elix,Avery Brewing Company,4.49
Trippel Lutz,West Flanders Brewing Co.,3.92
Gordon Biersch SommerBrau,Gordon Biersch Brewery Restaurant,3.65
Prairie Ale,Prairie Artisan Ales,4.08
Guinness Extra Stout (Original),Guinness Ltd.,4.24
Ballantine XXX Ale,Pabst Brewing Company,3.60
Founders CBS Imperial Stout,Founders Brewing Company,5.00
Saison De Lis,Perennial Artisan Ales,4.04
Lips Of Faith - Cocoa Molé,New Belgium Brewing,3.98
