Beer name,Brewery,Rating
Cuban Tobacco Leaf Porter,Herzl Beer,4.14
Evil Twin / Amager Bryghyus From Amager With Love,Evil Twin Brewing,4.09
Baby Genius,Bissell Brothers Brewing Co.,4.01
BrewDog Paradox Speyside (Batch 011) - 1987 Macallan Sherry Cask,BrewDog,3.42
Game Of Thrones: Three-Eyed Raven,Brewery Ommegang,4
Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,4.73
XLV Jaded Saison,Wicked Weed Brewing,3.75
Forever Ever,Other Half Brewing Co.,4.25
Hop Lab - Imperial Red,Kane Brewing Company,3.86
Founders Blushing Monk,Founders Brewing Company,4.71
Blue Bridge Coffee Stout,Coronado Brewing Company,3.63
IPA,Ardent Craft Ales,3.6
Brick Kiln,Jackie O's Pub & Brewery,3.77
Blueberry Petite Sour,Crooked Stave Brewery & Taproom,4.24
Mystery Romp,Crooked Letter Brewing Co.,3.85
XHOPS (Purple Label),Toppling Goliath Brewing Company,3.33
Slimy Pebble Pils,North Country Brewing,3.41
Succumb,The Answer Brewpub,3.84
Yuengling Traditional Lager,Yuengling Brewery,3
Yuengling Light Lager,Yuengling Brewery,3
Yuengling Black & Tan,Yuengling Brewery,3.02
Troegs / Appalachian / Pizza Boy (717) Collaboration,Tröegs Brewing Company,3.83
Lord Chesterfield Ale,Yuengling Brewery,2.7
Wyatt's Eviction ESB,Yellow Springs Brewery,3.5
Double Shot - Bourbon Vanilla Bean,Tree House Brewing Company,4.59
Bell's Expedition Stout,"Bell's Brewery, Inc.",4.32
Terrapin Hi-5 IPA,Terrapin Beer Company,3.74
Hop Project #65,Yazoo Brewing Company,4
Stupid Stout - Bourbon Barrel Aged,Coronado Brewing Company,4
Shhhhhhh...!,Tree House Brewing Company,4.41
Pale Ale,Yazoo Brewing Company,3.48
Winter Seasonal,Yazoo Brewing Company,3.5
Home Rule,Atlas Brew Works,3.84
JJJuliusss,Tree House Brewing Company,4.53
Dos Perros,Yazoo Brewing Company,3
Gerst Amber,Yazoo Brewing Company,2.83
Southernmost Gose,Wicked Weed Brewing,4
Sly Rye Porter,Yazoo Brewing Company,3.5
Cuivre,The Bruery,4.45
Embrace The Funk - Indomitus Dolium Ale,Yazoo Brewing Company,4
Alter Ego,Tree House Brewing Company,4.6
Double Espresso Premio Caffé,Black Wolf Brewery,3.66
Brett Saison Barrel Aged Sauvignon Blanc Blend 1,Yazoo Brewing Company,4
Ka-Blammo,Nääs Gårdsbryggeri AB,4.32
Choklat Oranj,Southern Tier Brewing Company,4.5
Julius (cask Dry Hopped W/ Citra And Amarillo),Tree House Brewing Company,4.73
Young's Double Chocolate,Wells & Young's Ltd,3.07
Drifter Pale Ale,Widmer Brothers Brewing Company,4
Parabola,Firestone Walker Brewing Co.,4.65
Pitch Black IPA,Widmer Brothers Brewing Company,4
Beeramisu,Pizza Port Solana Beach,4.71
Very Green,Tree House Brewing Company,4.85
Vanilla Barrel-Aged Brrrbon,Widmer Brothers Brewing Company,4
Imperial Coolcumber,Wicked Weed Brewing,4.41
Coolcumber,Wicked Weed Brewing,3.58
Truth,Tree House Brewing Company,5
Divergence,Wicked Weed Brewing,4
Pierre Ferrand Billionaire,Clown Shoes,4.09
Black Angel Cherry Sour,Wicked Weed Brewing,4.5
XXXII Prickly Pear Saison,Wicked Weed Brewing,3.5
Waterfront Brewing Co. India Pale Ale,Shipyard Brewing Co.,2.5
XXXIV Poperinge Saison IPA,Wicked Weed Brewing,4
Bears Choice,Tighthead Brewing Company,4.21
Reverence,Wicked Weed Brewing,4
Baba Black Lager,Uinta Brewing Company,3.5
Bretticent,Wicked Weed Brewing,3.75
Tricitrahops,Flossmoor Station Restaurant & Brewery,3.47
Hop Sun (Summer Wheat Beer),Southern Tier Brewing Company,3.58
Run Club Rye Pale Ale,Wicked Weed Brewing,4
Shadow Of The Moon,Flossmoor Station Restaurant & Brewery,3.97
Nirvana IPA,Brewery Ommegang,3.73
Philosophe,The LAB (Lexington Avenue Brewery),4.15
Terra Locale Series - Appalachia,Wicked Weed Brewing,3.85
Two Hearted Ale,"Bell's Brewery, Inc.",4.22
Hoplar Imperial IPA,Hardywood Park Craft Brewery,4.15
Satin Solitude Imperial Stout,Central Waters Brewing Co.,3.75
Serendipity,New Glarus Brewing Company,4.25
Bon Secours - Biere Vivante,Brasserie Caulier,3
St. Bernardus Witbier,Brouwerij St. Bernardus NV,4.21
Napoleon Complex IPA,Wicked Weed Brewing,3.98
Terra Locale Series - Lusus Naturae,Wicked Weed Brewing,4
Genesis Blonde Sour,Wicked Weed Brewing,4.35
Pistachio Abduction,Pipeworks Brewing Company,5
White Birch Berliner Weisse,White Birch Brewing,4
Quad,Weyerbacher Brewing Co.,4
"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,4.13
Undercover Investigation Shut-down Ale,Lagunitas Brewing Company,4.1
Merry Monks,Weyerbacher Brewing Co.,4
Barrel Aged Shadow Of The Moon,Flossmoor Station Restaurant & Brewery,4.08
Gnomegang,Brewery Ommegang,5
West Sixth IPA,West Sixth Brewing Company,3.5
OBX Beer,Weeping Radish Eco Farm & Brewery,3
Ipswich Oatmeal Stout,Ipswich Ale Brewery,4.7
Corolla Gold Helles Lager,Weeping Radish Eco Farm & Brewery,3.13
Weasel Boy Anastasia Russian Imperial Stout,Weasel Boy Brewing Company,4
Stone Delicious IPA,Stone Brewing Co.,3.75
The Event Horizon,Olde Hickory Brewery,4.38
Heller Heaven Double IPA,West Sixth Brewing Company,4.36
Grapefruit Sculpin IPA,Ballast Point Brewing Company,4.66
Wasatch Unofficial Amber Ale,Utah Brewers Cooperative,3.1
Raspberry Tart,New Glarus Brewing Company,4.23
Warsteiner Premium German Pilsener,Warsteiner Brauerei,3.75
Vera Mae,Hill Farmstead Brewery,4.29
Choklat Oranj,Southern Tier Brewing Company,4.68
Omega Point,Olde Hickory Brewery,4.34
Melange No. 3,The Bruery,4.33
HopDevil India Pale Ale,Victory Brewing Company,3.24
Sculpin IPA,Ballast Point Brewing Company,4.44
Summer Love,Victory Brewing Company,3.04
RIPA,Carson's Brewery,3.49
Pierre Ferrand Billionaire,Clown Shoes,4.18
Hop Wallop,Victory Brewing Company,4
Old Horizontal,Victory Brewing Company,4
Stone Enjoy By IPA,Stone Brewing Co.,4.91
Golden Monkey,Victory Brewing Company,4
PMD Mild Ale,Goose Island Beer Co.,3.54
J. Wakefield / Arizona Wilderness Blood Brothers,J. Wakefield Brewing,4.23
Headwaters Pale Ale,Victory Brewing Company,3.5
DirtWolf,Victory Brewing Company,4.1
Red Thunder,Victory Brewing Company,4
Helios  (V Saison),Victory Brewing Company,4.1
Heineken Lager Beer,Heineken Nederland B.V.,3.13
Chameleon Lager,Goose Island Beer Co.,3.02
White Monkey,Victory Brewing Company,4.19
Electric Peel,Magic Hat Brewing Company,3.77
Série Signature Barleywine Américain,Les Trois Mousquetaires,4.38
Invicta India Black Ale,Cervejaria Invicta,4
Gose,Upright Brewing Company,4
Cape Cod Porter,Cape Cod Beer,3.31
Five (#5),Upright Brewing Company,4
Seven (#7),Upright Brewing Company,4
Barrel Chested Barleywine,Upland Brewing Company,4
Brooklyn Summer Ale,Brooklyn Brewery,3.39
Yellow Rose,The Lone Pint Brewery,4.41
Mocha Wednesday,The Bruery,4.75
Stiltsville,Concrete Beach Brewery,3.14
Maudite,Unibroue,4
Maple Bacon Coffee Porter,Funky Buddha Brewery,4.54
Unibroue 17 Grande Réserve,Unibroue,4.38
Dragonfly IPA,Upland Brewing Company,3.32
Maximus,Lagunitas Brewing Company,4.25
